Symptom,Description
Fidgeting,"Fidgeting is making small movements with your body, usually your hands and feet. It's associated with not paying attention, and often reflects discomfort and restlessness"
Easily Distracted,easily-distracted (person): (a person who) finds it difficult to concentrate or pay attention.
Interrupting,to stop or hinder by breaking in interrupted the speaker with frequent questions. to break the uniformity or continuity of a hot spell occasionally interrupted by a period of cool weather.
Avoiding activities,to keep away from; keep clear of; shun
Skin Discoloration,Pigmentation means coloring. Skin pigmentation disorders affect the color of your skin. Your skin gets its color from a pigment called melanin. Special cells in the skin make melanin.
High blood pressure,is blood pressure that is higher than normal. Your blood pressure changes throughout the day based on your activities. Having blood pressure measures consistently above normal may result in a diagnosis of high blood pressure (or hypertension). The normal blood pressure is 120/80. There may be a fuctuation of 10 which is also considered normal.
oily skin,Oily skin is the result of the oil (sebaceous) glands in the skin producing large amounts of oil.
muscel pain,"In medicine, myalgia, also known as muscle pain or muscle ache, is a symptom that presents with a large array of diseases. While the most common cause is the overuse of a muscle or group of muscles, acute myalgia may also be due to viral infections, especially in the absence of a traumatic history."
obesity,"Overweight and obesity are defined as abnormal or excessive fat accumulation that presents a risk to health. A body mass index (BMI) over 25 is considered overweight, and over 30 is obese."
Decrease range of Motion,Reduced range of movement is where there is a limitation of movement at a joint. The movement may become stiff or painful. Pain or stiffness may restrict the normal fluency of the joint's range.
Short Tempered,quick to lose one's temper or cool
Indigestion," Indigestion — also called dyspepsia or an upset stomach — is a general term that describes discomfort in your upper abdomen. Indigestion is not a disease, but rather some symptoms you experience, including abdominal pain and a feeling of fullness soon after you start eating."
Abdominal Pain,"Vomiting, or throwing up, is a forceful discharge of stomach contents. It can be a one-time event linked to something that doesn't settle right in the stomach. Recurrent vomiting may be caused by underlying medical conditions."
Dizziness,"Dizziness is a term used to describe a range of sensations, such as feeling faint, woozy, weak or unsteady. Dizziness that creates the false sense that you or your surroundings are spinning or moving "
Whiteheads,
Pain during urination,"Painful urination (dysuria) is discomfort or burning with urination, usually felt in the tube that carries urine out of your bladder (urethra) or the area surrounding your genitals (perineum)."
Frequent Urination,"Frequent urination is the need to urinate more often than what's normal for you. You may be passing more urine than usual or only small amounts. Frequent urination may occur both day and night, or it may be noticeable only during the night (nocturia)."
Blood in urin,"In hematuria, your kidneys — or other parts of your urinary tract — allow blood cells to leak into urine. Various problems can cause this leakage, including: Urinary tract infections. These occur when bacteria enter your body through the urethra and multiply in your bladder."
Difficulty Urination,Painful or difficult urination.
Blackheads,
Cystic lesions,"A cyst is a sac that may be filled with air, fluid or other material. A cyst can form in any part of the body, including bones, organs and soft tissues. Most cysts are noncancerous (benign), but sometimes cancer can cause a cyst."
Pimples,a small hard inflamed spot on the skin.
Redness,
Infection,"The invasion and growth of germs in the body. The germs may be bacteria, viruses, yeast, fungi, or other microorganisms. Infections can begin anywhere in the body and may spread all through it. An infection can cause fever and other health problems, depending on where it occurs in the body."
Tiredness,"A feeling of a lessened capacity for work and reduced efficiency of accomplishment, usually accompanied by a sense of weariness and fatigue"
Sleeplessness,Unable to fall asleep
Daytime Sleepiness,Feeling sleepy during the day even after a nights rest
Depression,Depression is a mood disorder that causes a persistent feeling of sadness and loss of interest
Anxiety,distress or uneasiness of mind caused by fear of danger or misfortune
Forgetfullness,When you find it hard to remember things
Pain,a localized or generalized unpleasant bodily sensation or complex of sensations that causes mild to severe physical discomfort and emotional distress and typically results from bodily disorder
Low Blood Pressure,"Some experts define low blood pressure as readings lower than 90 mm Hg systolic or 60 mm Hg diastolic. If either number is below that, your pressure is lower than normal. A sudden fall in blood pressure can be dangerous. The normal blood pressure is 120/80. There may be a fuctuation of 10 which is also considered normal."
Dry Mouth,"Dry mouth, or xerostomia (zeer-o-STOE-me-uh), refers to a condition in which the salivary glands in your mouth don't make enough saliva to keep your mouth wet."
Dry Skin,dry skin would mean skin without water or moisture
Muscel Cramps,A muscle cramp is a sudden and involuntary contraction of one or more of your muscles.
Missed Menstural Cycle,"Amenorrhea (uh-men-o-REE-uh) is the absence of menstruation — one or more missed menstrual periods. Women who have missed at least three menstrual periods in a row have amenorrhea, as do girls who haven't begun menstruation by age 15. The most common cause of amenorrhea is pregnancy."
Dehydration,"Dehydration occurs when you use or lose more fluid than you take in, and your body doesn't have enough water and other fluids to carry out its normal functions. If you don't replace lost fluids, you will get dehydrated"
Stiffness,"Rigit, difficult to move, firm"
Rashes,"An area of redness and spots on a person's skin, appearing especially as a result of allergy or illness."
Blackheads,
